date,hour,demand
2021-03-01,0,54.76031737887125
2021-03-01,1,52.854157098282315
2021-03-01,2,52.8715596956849
2021-03-01,3,52.97051392939717
2021-03-01,5,51.9342816765221
2021-03-01,6,52.21881814851744
2021-03-01,7,66.5309729652185
2021-03-01,8,70.62977879635578
2021-03-01,9,73.70031709597677
2021-03-01,10,71.35172893537225
2021-03-01,11,76.12921473076106
2021-03-01,12,77.79996856727539
2021-03-01,13,77.92995096903265
2021-03-01,14,77.13471128933934
2021-03-01,15,77.58118891724615
2021-03-01,16,78.73386348887261
2021-03-01,17,84.63967346841231
2021-03-01,18,85.25163398859287
2021-03-01,19,82.75182750047087
2021-03-01,20,77.15115392380714
2021-03-01,21,66.87323648360429
2021-03-01,22,55.37641065162842
2021-03-01,23,55.78554086217404
2021-03-02,0,53.95343421934176
2021-03-02,1,53.2580750162413
2021-03-02,2,53.2580750162413
2021-03-02,4,52.88489254102455
2021-03-02,6,52.377806427183174
2021-03-02,7,66.81629581332233
2021-03-02,8,69.7297450834482
2021-03-02,9,72.41170909192103
2021-03-02,10,68.66132125840677
2021-03-02,11,72.79845367563462
2021-03-02,12,73.74982218782232
2021-03-02,13,74.3708236649846
2021-03-02,14,73.47164407157437
2021-03-02,15,73.40354196978369
2021-03-02,16,74.31179875787925
2021-03-02,17,83.80264347098795
2021-03-02,18,83.07433756067304
2021-03-02,19,79.44783800817044
2021-03-02,20,76.40423094288025
2021-03-02,21,67.00961655497902
2021-03-02,22,59.130647342837804
2021-03-02,23,58.520483625514984
2021-03-03,0,54.44754637296299
2021-03-03,2,53.94032641804571
2021-03-03,3,54.03928065175797
2021-03-03,4,53.65735474835736
2021-03-03,5,53.23251902434597
2021-03-03,6,52.85012628598967
2021-03-03,7,66.56855242002966
2021-03-03,8,69.51837893581482
2021-03-03,9,72.09285797802056
2021-03-03,10,68.18821119233334
2021-03-03,11,72.30834956766228
2021-03-03,12,73.08403905845306
2021-03-03,13,74.11087736492898
2021-03-03,14,73.06381539276082
2021-03-03,15,72.9957132909701
2021-03-03,16,74.71576565190034
2021-03-03,17,85.30158970716074
2021-03-03,18,84.55218001741557
2021-03-03,19,81.2185740528776
2021-03-03,20,76.90215773206992
2021-03-03,21,68.57820457445585
2021-03-03,22,67.34144181041036
2021-03-03,23,63.4412986806657
2021-03-04,0,54.812329430713355
2021-03-04,1,54.2107617036383
2021-03-04,2,54.2107617036383
2021-03-04,4,53.885980060029894
2021-03-04,6,53.58229507504231
2021-03-04,7,66.15245804767848
2021-03-04,8,69.30072739491226
2021-03-04,9,70.26106569141656
2021-03-04,10,69.13506835319878
2021-03-04,11,73.40578644096875
2021-03-04,12,73.9402568165428
2021-03-04,13,76.79555516204192
2021-03-04,14,75.74849318987374
2021-03-04,15,75.95137458375403
2021-03-04,16,77.49483246757434
2021-03-04,17,86.94168859202175
2021-03-04,18,84.3235182856586
2021-03-04,19,81.75648986064515
2021-03-04,20,76.90082589063444
2021-03-04,21,68.96420544446572
2021-03-04,22,69.05366671669591
2021-03-04,23,64.34719948190995
2021-03-05,0,56.696350009062655
2021-03-05,1,56.10324812587326
2021-03-05,2,56.10324812587326
2021-03-05,3,55.469587055662
2021-03-05,4,54.00701023283218
2021-03-05,5,53.29699053623486
2021-03-05,6,53.49427193230682
2021-03-05,7,65.69260830590312
2021-03-05,8,67.62123625469891
2021-03-05,9,77.74059501530007
2021-03-05,10,91.34239169308499
2021-03-05,11,99.13336000630726
2021-03-05,12,102.92576766551521
2021-03-05,13,99.7735393973764
2021-03-05,14,99.45152583516087
