date,hour,demand
2021-03-01,0,54.524048667781315
2021-03-01,1,52.972131329708695
2021-03-01,2,52.98580479909646
2021-03-01,3,53.1036173485046
2021-03-01,5,52.058496058861806
2021-03-01,6,52.352700152281386
2021-03-01,7,66.338658900059
2021-03-01,8,69.81283600188688
2021-03-01,9,73.50615570021039
2021-03-01,10,72.1251792842041
2021-03-01,11,77.15061142694096
2021-03-01,12,78.5921727688671
2021-03-01,13,78.60520816865073
2021-03-01,14,77.98037699174886
2021-03-01,15,78.23091182781812
2021-03-01,16,79.31412033834174
2021-03-01,17,85.31271879723498
2021-03-01,18,85.94976317136364
2021-03-01,19,83.55810262254661
2021-03-01,20,77.1108007135453
2021-03-01,21,67.51590072104398
2021-03-01,22,55.49787567996522
2021-03-01,23,55.44937246230055
2021-03-02,0,53.91865014821939
2021-03-02,1,53.31807651388772
2021-03-02,2,53.31807651388772
2021-03-02,4,52.85178171708961
2021-03-02,6,52.34723627187333
2021-03-02,7,66.55430885631517
2021-03-02,8,69.08467582358057
2021-03-02,9,71.76538232332554
2021-03-02,10,68.83932194196682
2021-03-02,11,73.05314771235005
2021-03-02,12,74.08557513919656
2021-03-02,13,74.35471324955108
2021-03-02,14,73.64821499758592
2021-03-02,15,73.50268624693922
2021-03-02,16,74.52569859032512
2021-03-02,17,84.11469732116987
2021-03-02,18,83.80458036304617
2021-03-02,19,80.3584713371615
2021-03-02,20,76.5234026470508
2021-03-02,21,67.86111594213914
2021-03-02,22,58.85111716239958
2021-03-02,23,58.120337268935515
2021-03-03,0,54.34402913704469
2021-03-03,2,53.8912791977141
2021-03-03,3,53.96902895277373
2021-03-03,4,53.495864319545454
2021-03-03,5,53.104206011709074
2021-03-03,6,52.73140515583656
2021-03-03,7,66.31168575782583
2021-03-03,8,68.91860242186864
2021-03-03,9,71.51485644811804
2021-03-03,10,68.46759260433768
2021-03-03,11,72.55460573000128
2021-03-03,12,73.44899964003595
2021-03-03,13,74.03700954485119
